,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
630,imagin,vote,repjoekennedi,jdanielmoor,swerp,gost88704264,accid,violenc,blood,nerv,this…,pa,gundeath,accord,29,remov,chicago,w…,we’v,classmat,viole…,glover…,messag,visual,idol,march,daughter,citi,bring,sayin,involv,safe,today’,lose,shootout,america,festiv,b…,everywher,gun,sirchadwick,contact,issu,threat,aight,ass,shucho,davidhogg111,end,britishguncrim
631,weapon,knife,scare,mrdane1982,control,into…,shoot,children,polit,support,hollywood,anoth,punish,heart,for…,horrifi,imag,countri,gun,liber,youth,research,cdc,injur,taken,uptown,waterloo,pussi,save,reduc,come,realiz,davidhogg111,great,intens,enough,type,floridian,violent,dumbass,alyssamilano,domest,caus,gunsens,gunreformnow,solut,straight,survivor,soannoy,kylekashuv
632,solut,deeper,3353,parti,lance4usa,denisehenwood,kayajon,hater,kaitmarieox,narikoott,millieweav,annaterese618,expect,fwhitfield,nra,anacabrera,cnnnewsroom,shouldnt,dv,sa…,organ,crome,gu…,flu,natakimj777,rapey,iamamazingluca,dueprocess,replac,health…,mentalhealth,"america

",seriou,fuck,victim,antinazigr,acab,antinazi,languag,i…,domest,high,abl,davidhogg111,shoot,gun,hope,right,absolut,sensibleguncontrol
633,plenti,florida,b52malmet,refriger,sayin…,let’,"
september…",pushup,"365
one",272,"each
day",spineless,whose,women…,resist,first,peep,ass,violenc,islandgirlpr,wcsooregon,misterc1995,ownership,teen,great,weak,poetri,norfolk,notonemor,threat,gone,young,"america

",mentalhealth,health…,selfaggrand,tripe,activist,alyssa,linda,ikeji,gun,word,tire,niggas🤦🏽‍♀️,republican,piec,gunsensevot,“we”,grab
634,enough,role,advocaci,medpubl,activ,stop,ian,15k,need…,mob,confront,observ,cal…,maxinewat,dem,gifford,pac,reduc,woman,mea…,barrier,assum,twittermo,exhaust,yo…,interview,abc7,“these,silenc,squar,politician,zackfox,craigsteg,mattwsm,actifypress,threaten,❤️,sure,peopl,prevent,2016,reason,gun,fair,thinkprogress,elect,violenc,🙏🏽,hypocrit,victim
635,awesom,that,everywher,fight,forc,stand,rn,bear,rubio,opinion,theater,water,american,cut,firearm,western,chicago,issu,y…,violenc,america,no…,countri,stood,horrifi,trauma,technolog,congress,prevent,superbowl,stop,dana,harleyrouda,1000,lic,gun,sir,god,hero,👏👏👏,bless,obama’,fault,truth,join,speaker,👍🏻🇺🇸yep,evergreen,😂😂,children
636,see,opposit,timetotalk,aisl,expand,california,law,safer,megy12,stronghold,decades…,chicagowher,anymo…,fed,demoufuckupcrat,public,ohforgot,start…,pray,"culture

repealthesecond",senseless,brought,life,write,problem,don’t,speech,govern,ptsd,educ,arm,suscept,accid,park,school,davidhogg111,alaskan,dan,brilliant,knock,cowboy,hb2060,margueritequinn,love,nra,"man
2ndamend",violenc,gun,acu4d,gotta
637,everyth,shoot,nurs,local,subject,boonafideaf,campu,done,kid,hard,antiracist,chinesecanadian,problem,survivor,carri,late,safeti,antifa,victim,public,reason,smartest,noth,kamalaharri,kidgo,waitar,damag,collater,folk,man,prais,seem,speak,vote,jackal,rabid,surviorsmatt,endnra,,unlik,elect,alyssa,health,germani,gun,amen,one4thebook,vetwifeforlif,horrif,davidhogg111
638,buy,sit,globalcitizenfestiv,dedic,i’v,archiv,a…,control,standsaf,ownership,politifact,stir,wind,violenc,govern,peac,nra,organ,support,promot,repres,victim,parent,kaitmarieox,soslimes,brennaspenc,advoc,shoot,law,id,violent…,bullet,potu,to…,legal,palin,dude,seek,profession,cameronkaski,,stupid,commun,gop,advis,davidhogg111,gun,❤️,rape,"davidhogg111
right"
639,these…,of…,dem…,redistrict,ensur,broadway,uniti,west,american,domest,california,stillno,himher”,fight,mani,don’t,convict,knew,safe…,say,bjoewolf,public,agre,answer,school,respons,provid,suppli,peopl,pleas,talk,issu,restrain,health,"kalifornia

i",republ,davidhogg111,piec,democrat,gun,crap,realdonaldtrump,,redwave2018,white,ya,doctor,pediatrician,stop,armingteach
640,domest,million,anderson,respons,california,nra,amen,law,chicago,"end

thi",bryant,more…,dedic,alberta,abpoli,👇👇👇👇,racism,senbobcasey,sentoomey,reptommarino,ucp,children,classmat,young,"november
dont",gang,sooo,hogg,david,true,slimes,economist,global,map,artagen,"
no",suicid,ezi,shoot,advoc,violenc,gun,govabbott,txlege,speach,fantast,scienc,davidhogg111,absolut,threaten
641,foreign,headlin,citizen,"do

se",spec…,togeth,toronto,shoot,seen,s…,135,"not

it","record

sinc",count,poison,stacey,amvetsupport,asham,l…,around,campu,demonstr,intimid,we’r,blame,yorkdispatch,mother,sister,seanmdav,disgusting…,thing,"stop
now",niec,"okay
gun",rant,american,violenc,enough,stop,pro,2a,assault,must,mani,,arrests😠😠😠,gun,young,davidhogg111,sad
642,walktogeth,voteforourl,address,op,repli,17woozi,pjjjmk,kennedydarl,hous,end,safe,cryingthank,youth,broke,public,busi,stop,serious,dailycal,threaten,pr…,jimmyjoejake1,tom,prayer,shot,15,america,illuminatecel,rea…,evil,davidhogg111,we…,phizlair,continu,hell…,psychdr100,taken,still,normal,kent,must,fight,gun,imagin,reason,"walmart

hick",delusion,tf,👍🏾👍🏽👍🏿,okay
643,christian,figur,fb,la…,pattern,shoot,locat,samuelilitch,assum,law,friend,locke…,trade,die,icedcoffe,kokomothegreat,chachoceci,sentenc,fineassilk,permiss,wasteland,rule,virtur,era,th…,o…,jewhaditm,probabl,unit,tie,indic,perinata…,folk,terrifi,defend,edhtownhal,although,"townhallforourlives

sh","thisisjessicamorse

particip",nra,wait,flower,cloth,californian,"no
mi",ooh,ruler,eminem,“marshal”,children
644,walk,well,mywhat,clingin…,constantli,incit,threat,chapter,nyc,ill,claim,jewelslopez,thejtlewi,hypocrisi,be…,nra,j…,told,expect,retali,gop,femin,accus,serious,views…,fundament,liter,huge,mr,young,lost,bet,man,five,known,ban,say,crime,thread,i’m,rucku,problem,gun,bulli,student,ownership,stat,shock,see,👊🏿👍
645,newark,send,may,somebodi,measur,huge,stop,insan,act,unitedst,reuter,fla,silewconsult,parkland,walkout,repmimiwalt,mother’,lost,who’v,nra,children,big,gifford,forget,stab,increas,heartless,econom,ofc,see…,f…,portland,rate,palin,sinc,this…,smack,dgaf,shoot,mass,periscop,stopthepolicebrut,dankepolizei,berlin,blacklivesmatt,gun,ain’t,victim,pleas,gang
646,tellin,care…,pretend,there,santa,patriot,trump,america,from…,etc,overdos,violenc,bullet,head,she’ll,discuss,buzzfeednew,ar15,enough,end,disciplin,assault,be,ci…,man,canadian,crisi,opioid,uncontrol,steventdenni,side,home,vegasstrong,boycotnra,rock,hub,c…,music,much,becom,south,scourg,uniform,wear,armi,chicago,funer,gun,prevent,beautybind
647,yeti,republican,chang,mad,side,blind,mayhem,obama,uniqu,upon,we’v,inflict,sammymarkle64,plutosavior,mazzokisss,iss…,hannahwoolm,athlet,set,high,centr,environ,deser…,south,churn,slow,editori,suburban,suntim,today…,interest,refer,chiraq,show,ojungel,mombot,happe…,staggersonjagz,uniti,west,gather,broadway,scourg,omg,hub,becom,well,funer,chicago,💔💔💔
648,tslk,js,gr…,real,expert,bollock,kavanaugh’,might,nightclub,newsroom,lost,innoc,concert,start,realdonaldtrump,flee,advoc,immigr,guncontrol,american…,arrest,threaten…,kick,palin,januari,girlfriend,review,netflix,documentari,daili,nebraskan,declar,treat,firearm,epidem,everyday,dev…,lie,to…,speakerryan,mikep,daxx98,victim,violenc,funer,hub,chicago,scourg,disgust,gun
649,threaten,teenag,frankrichni,gutenberg,kylegriffin1,fred,pair,mental,funeral…,describ,american,die,this…,help,funer,becom,hub,scourg,chicago,danekilm,libertyhangout,solut,iss,oliv,skewer,politician,absolut,nonsens,statist,grabber,semi,sadli,over…,"automaticman
lov",volunt,local,violenc,side,blame,school,respons,gun,change…,33000,fight,south,citi,sunday,kill,wound
650,nov,"
there",6…,look,mass,sho…,heartbreak,death,chicago,vote,"country
2u",lrihendri,4awesometweet,other…,"facts
1u",tullyfram,militari,econom,mor…,"

a",33000,creat,change…,help,podcast,address,for…,sharehold,p…,parkland,columbin,newtown,"all
💙🌊🏳️‍🌈🌊🇺🇸🌊🧢🌊💙",fatal,fight,bakeachang,american,wfsbnew,perman,homi,fuckkkatt,shouldn’t,shot,effect,,sunday,wound,gun,potato,flcopreventgv
651,mean,victim,hidden,director,th…,debat,dm,prevent,"it

it",law,activist,deanhel,sunday,mani,innoc,interview,senatordurbin,shot,someth,regist,domest,l…,toll,funer,gun,rant,streetnoodl,andrewgillum,nprpolit,maraliasson,paraphrased…,mass,opinion,polic,thx,michaelmoore365,antidepresssnt,repdavebrat,constitu,threaten,republican,wound,vega,shoot,kill,survivor,chicagopolic,chicagosmayor,neveragain,chicago
652,,debat,bullshit,taking…,peopl,howmanymor,write,divers,senatordurbin,and…,wound,fear,gu…,guncontrol,meet,vega,end,student,solut,mass,congress,countri,rid,violenc,grew,loss,problem,repres,thetorontosun,jeffy007bond,nra,articl,prayer,walshfreedom,vegasstrong,1octob,26,incid,reduc,listen,shoot,mom,young,exactli,prevent,network,chicago,keepgo,cnnbrk,gun
653,defens,mass,is…,luckychainsaw,andrewgillum,tallahasse,their…,newsroom,fest,82,vega,sendeanhel,assault,movement,increas,strength,kindness…,58,citi,offlin,wont,tbh,health,behavior,lam,rick,ppact,altright,newtgingrich,shoot,ago,gun,chang,tote,fish,law,still,selfdefens,victim,domest,shark,els,ridicul,kind,tire,selfdefense…,foxnew,absolut,exactli,everyon
